"full.date","ID","Total_hits","Diff_logger","Rhodo","Logstump","cover","Bamboo","Distance","Distance20","Act_time","Activity","Activity20","Moon","Sex","season","season.n","datalog","trap"
2010-04-10,"M239",4,1,0,1.15443840801143,0,0,0,60,231.266666666667,0,0.259440761026232,19.1,"M","EBS",1,5,1
2010-04-10,"M252",1,1,0,7.99259356285766,0,0,0,0,0,0,0,19.1,"F","EBS",1,5,1
2010-04-11,"M141",1,1,0,7.99259356285766,0,0,0,0,0,0,0,12.3,"M","EBS",1,5,1
2010-04-11,"M144",1,1,0,0.374299325308868,0,0,0,0,0,0,0,12.3,"F","EBS",1,5,1
2010-04-11,"M148",3,1,0,0.498210223466866,0,0,0,20,249.966666666667,0,0.0800106680890785,12.3,"M","EBS",1,5,1
2010-04-11,"M149",2,1,0,0.0965774969870303,0,0,0,20,41.9833333333333,0,0.476379515680826,12.3,"F","EBS",1,5,1
2010-04-11,"M238",2,2,0,0.764368866660149,0,0,58.309518948453,58.309518948453,137.083333333333,0.425358192937043,0.425358192937043,12.3,"M","EBS",1,5,1
2010-04-11,"M239",2,1,0,1.15443840801143,0,0,0,20,121.033333333333,0,0.1652437345084,12.3,"M","EBS",1,5,1
2010-04-11,"M252",1,1,0,7.99259356285766,0,0,0,0,0,0,0,12.3,"F","EBS",1,5,1
2010-04-12,"M118",1,1,1,0.190522091688826,1,0,0,0,0,0,0,6.8,"M","EBS",1,5,1
2010-04-12,"M137",1,1,1,0.190522091688826,1,0,0,0,0,0,0,6.8,"M","EBS",1,5,1
2010-04-12,"M141",5,1,0,1.28026496505515,0,0,0,40,91.9,0,0.43525571273123,6.8,"M","EBS",1,5,1
2010-04-12,"M144",5,3,0,0.839655733926487,0,0,122.360679774998,122.360679774998,254.583333333333,0.480631148052365,0.480631148052365,6.8,"F","EBS",1,5,1
2010-04-12,"M148",1,1,0,0.498210223466866,0,0,0,0,0,0,0,6.8,"M","EBS",1,5,1
2010-04-12,"M237",1,1,0,0.889150088904397,0,0,0,0,0,0,0,6.8,"F","EBS",1,5,1
2010-04-12,"M238",4,3,0.25,0.910050527675881,0.25,0,91.2310562561766,111.231056256177,98.6666666666667,0.924639083677466,1.12734178638017,6.8,"M","EBS",1,5,1
2010-04-12,"M239",2,2,0.5,0.672480249850128,0.5,0,31.6227766016838,31.6227766016838,71.6,0.441658891084969,0.441658891084969,6.8,"M","EBS",1,5,1
2010-04-12,"M240",1,1,1,0.190522091688826,1,0,0,0,0,0,0,6.8,"F","EBS",1,5,1
2010-04-12,"M252",3,2,0.666666666666667,0.553769716144267,0.666666666666667,0,41.2310562561766,61.2310562561766,138.083333333333,0.29859545870496,0.443435531124997,6.8,"F","EBS",1,5,1
