"","rhodweight","logit.values","high","low"
"88",523.347614993214,7.51812539383403e-16,7.51812539383403e-16,7.51812539383403e-16
"89",529.363104820722,4.86476268196591e-16,4.86476268196591e-16,4.86476268196591e-16
"90",535.37859464823,3.14784799562635e-16,3.14784799562635e-16,3.14784799562635e-16
"91",541.394084475738,2.03688188949118e-16,2.03688188949118e-16,2.03688188949118e-16
"92",547.409574303247,1.31800767937386e-16,1.31800767937386e-16,1.31800767937386e-16
"93",553.425064130755,8.52844856567717e-17,8.52844856567717e-17,8.52844856567717e-17
"94",559.440553958263,5.51851374431703e-17,5.51851374431703e-17,5.51851374431703e-17
"95",565.456043785771,3.57087150279341e-17,3.57087150279341e-17,3.57087150279341e-17
"96",571.471533613279,2.31060823262298e-17,2.31060823262298e-17,2.31060823262298e-17
"97",577.487023440788,1.49512812222132e-17,1.49512812222132e-17,1.49512812222132e-17
"98",583.502513268296,9.67454400229255e-18,9.67454400229255e-18,9.67454400229255e-18
"99",589.518003095804,6.26011913368585e-18,6.26011913368585e-18,6.26011913368585e-18
"100",595.533492923312,4.05074301782629e-18,4.05074301782629e-18,4.05074301782629e-18
